Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Vehicle Class,Fuel Type
2.0,4,8.5,33,196,COMPACT,Z
2.4,4,9.6,29,221,COMPACT,Z
1.5,4,5.9,48,136,COMPACT,Z
3.5,6,11.1,25,255,SUV - SMALL,Z
3.5,6,10.6,27,244,SUV - SMALL,Z
3.5,6,10.0,28,230,MID-SIZE,Z
3.5,6,10.1,28,232,MID-SIZE,Z
3.7,6,11.1,25,255,MID-SIZE,Z
3.7,6,11.6,24,267,MID-SIZE,Z
2.4,4,9.2,31,212,COMPACT,Z
2.4,4,9.8,29,225,COMPACT,Z
3.5,6,10.4,27,239,COMPACT,Z
1.8,4,8.4,34,193,TWO-SEATER,Z
5.9,12,15.6,18,359,MINICOMPACT,Z
5.9,12,15.6,18,359,SUBCOMPACT,Z
4.7,8,14.7,19,338,TWO-SEATER,Z
4.7,8,15.4,18,354,TWO-SEATER,Z
2.0,4,8.8,32,202,COMPACT,Z
2.0,4,10.0,28,230,COMPACT,Z
2.0,4,9.3,30,214,COMPACT,Z
2.0,4,10.0,28,230,SUBCOMPACT,Z
2.0,4,9.3,30,214,SUBCOMPACT,Z
2.0,4,10.2,28,235,MID-SIZE,Z
3.0,6,10.9,26,251,MID-SIZE,Z
3.0,6,8.1,35,217,MID-SIZE,D
3.0,6,11.2,25,262,MID-SIZE,Z
3.0,6,11.2,25,258,MID-SIZE,Z
4.0,8,11.3,25,265,MID-SIZE,Z
3.0,6,8.4,34,224,MID-SIZE,D
3.0,6,11.2,25,258,FULL-SIZE,Z
4.0,8,12.5,23,288,FULL-SIZE,Z
6.3,12,15.5,18,363,FULL-SIZE,Z
3.0,6,8.4,34,224,FULL-SIZE,D
2.0,4,10.5,27,242,STATION WAGON - SMALL,Z
2.0,4,10.4,27,239,SUV - SMALL,Z
3.0,6,11.2,25,258,SUV - SMALL,Z
3.0,6,9.0,31,244,SUV - SMALL,D
2.0,4,9.2,31,212,SUV - SMALL,Z
3.0,6,13.2,21,304,SUV - STANDARD,Z
3.0,6,10.7,26,290,SUV - STANDARD,D
4.2,8,14.6,19,336,TWO-SEATER,Z
4.2,8,17.7,16,407,TWO-SEATER,Z
5.2,10,14.8,19,347,TWO-SEATER,Z
5.2,10,17.8,16,409,TWO-SEATER,Z
4.2,8,13.3,21,306,SUBCOMPACT,Z
4.2,8,13.4,21,308,SUBCOMPACT,Z
4.0,8,12.5,23,293,MID-SIZE,Z
3.0,6,11.4,25,262,COMPACT,Z
3.0,6,12.4,23,285,COMPACT,Z
3.0,6,11.4,25,262,SUBCOMPACT,Z
3.0,6,12.4,23,285,SUBCOMPACT,Z
3.0,6,11.6,24,267,SUBCOMPACT,Z
4.0,8,12.2,23,281,MID-SIZE,Z
4.0,8,12.8,22,300,MID-SIZE,Z
3.0,6,12.7,22,292,SUV - SMALL,Z
2.0,4,9.1,31,209,SUBCOMPACT,Z
2.0,4,9.1,31,209,TWO-SEATER,Z
2.0,4,10.3,27,237,SUBCOMPACT,Z
2.0,4,10.3,27,237,TWO-SEATER,Z
4.0,8,13.4,21,314,SUBCOMPACT,Z
6.0,12,15.5,18,356,SUBCOMPACT,Z
4.0,8,14.2,20,332,SUBCOMPACT,Z
6.0,12,16.5,17,380,SUBCOMPACT,Z
6.0,12,16.5,17,388,MID-SIZE,Z
6.8,8,19.0,15,437,MID-SIZE,Z
